-0.43381,-1.5097,-1.5708+0.97106i,0.02,0.016667,1,Hb
0.40274,1.5183,1.5708-0.9786i,0.02,0.05,1,Hb
-0.48653,-1.4935,-1.5708+0.95663i,0.02,0.51667,1,Hb
0.26566,1.5482,1.5708-1.0043i,0.02,0.55,1,Hb
0.86827,-1.309,-1.5708+0.76719i,0.02,0.016667,3,Hb
0.84682,-1.323,-1.5708+0.78353i,0.02,0.51667,3,Hb
0.3236,-1.5371,-1.5708+0.9949i,0.02,0.033333,5,Hb
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,5,Hb
-0.40323,1.5182,1.5708-0.97849i,0.02,0.26667,5,Hb
0.33072,-1.5356,-1.5708+0.9936i,0.02,0.53333,5,Hb
-0.3858,1.5227,1.5708-0.98244i,0.02,0.76667,5,Hb
0.31173,-1.5396,-1.5708+0.99699i,0.02,0.033333,6,Hb
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,6,Hb
0.34143,-1.5332,-1.5708+0.99158i,0.02,0.53333,6,Hb
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,9,HbO2
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,10,HbO2
0.80531,1.3487,1.5708-0.81252i,0.02,0.083333,10,HbO2
0.4609,-1.5017,-1.5708+0.9639i,0.02,0.016667,11,HbO2
0.41897,-1.5139,-1.5708+0.97475i,0.02,0.51667,11,HbO2
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,13,HbO2
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,14,HbO2
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,15,HbO2
-1.5708,1.9237e-16,1.9237e-16+0i,0,0.066667,16,HbO2
