0.461033616654223+0i,0.183333333333333+0i,1.5707963267949-0.961010263597773i,-0.0495696734471364+0i,0.85+0i,1.5707963267949-0.806521043658588i
1.50161549825082+0i,4+0i,1+0i,1.57001399603529+0i,5+0i,1+0i
1.5707963267949-0.963867197305522i,0.471311741076602+0i,0.683333333333333+0i,1.5707963267949-1.02258138125512i,-0.814289652083347+0i,0.85+0i
1+0i,1.49842128355002+0i,4+0i,1+0i,1.34325480188322+0i,8+0i
