-0.202707156475901+0i,3+0i,0.683333333333333+0i,1+0i,1.92367069372179e-16+0i,1.92367069372179e-16+0i
-1.5576620008801+0i,0.461033616654223+0i,4+0i,0.35+0i,0+0i,1.92367069372179e-16+0i
-1.5707963267949+1.01230778638081i,1.50161549825082+0i,-1.5707963267949+0i,5+0i,0.266666666666667+0i,0+0i
1+0i,1.5707963267949-0.963867197305522i,1.92367069372179e-16+0i,-0.0495696734471364+0i,6+0i,0.266666666666667+0i
0.0166666666666667+0i,1+0i,1.92367069372179e-16+0i,1.57001399603529+0i,-1.5707963267949+0i,8+0i
3+0i,0.183333333333333+0i,0+0i,1.5707963267949-1.02258138125512i,1.92367069372179e-16+0i,-0.814289652083347+0i
-0.171941083615675+0i,4+0i,0.266666666666667+0i,1+0i,1.92367069372179e-16+0i,1.34325480188322+0i
-1.56135753882236+0i,0.471311741076602+0i,5+0i,0.85+0i,0+0i,1.5707963267949-0.806521043658588i
-1.5707963267949+1.01539592039711i,1.49842128355002+0i,-0.280013990664906+0i,5+0i,0.266666666666667+0i,1+0i
1+0i,1.5707963267949-0.961010263597773i,1.54563684780878+0i,-1.5707963267949+0i,7+0i,0.85+0i
0.516666666666667+0i,1+0i,1.5707963267949-1.00217202900693i,1.92367069372179e-16+0i,-1.5707963267949+0i,8+0i
